epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,924.048,1.07974,0.85899,0.00314,0.59985,0.89757,0.75145,0.58921,0.9118,0.78927,0.00288,0.000742625,0.000742625,0.000742625
43,945.49,1.06532,0.85246,0.00311,0.79146,0.88211,0.89054,0.71343,0.91204,0.76938,0.00285,0.00073025,0.00073025,0.00073025
44,966.349,1.09353,0.85238,0.00322,0.53902,0.932,0.7699,0.60359,0.92746,0.73607,0.00294,0.000717875,0.000717875,0.000717875
45,987.385,1.08496,0.81348,0.00313,0.85246,0.80411,0.89084,0.71552,0.91371,0.73835,0.0028,0.0007055,0.0007055,0.0007055
46,1007.96,1.06495,0.82214,0.00325,0.8789,0.84699,0.90381,0.74444,0.88992,0.70635,0.00284,0.000693125,0.000693125,0.000693125
47,1028.95,1.01003,0.77352,0.00296,0.85448,0.78006,0.88282,0.69893,0.95396,0.753,0.00294,0.00068075,0.00068075,0.00068075
48,1049.61,1.07786,0.81712,0.00327,0.78521,0.82128,0.87602,0.69258,0.95885,0.79295,0.00303,0.000668375,0.000668375,0.000668375
49,1070.17,1.05109,0.81381,0.00319,0.83622,0.85161,0.89406,0.72057,0.90662,0.72587,0.00287,0.000656,0.000656,0.000656
50,1091,1.031,0.79061,0.00296,0.90683,0.79618,0.89758,0.73015,0.91441,0.71887,0.00288,0.000643625,0.000643625,0.000643625
51,1111.58,1.0102,0.75839,0.00306,0.84637,0.82939,0.90024,0.74546,0.89025,0.73622,0.00282,0.00063125,0.00063125,0.00063125
52,1132.33,1.02241,0.78891,0.00302,0.87205,0.85593,0.88922,0.7427,0.88038,0.72594,0.00277,0.000618875,0.000618875,0.000618875
53,1153.76,1.00978,0.75426,0.00299,0.89057,0.78454,0.89587,0.72417,0.89392,0.72874,0.00282,0.0006065,0.0006065,0.0006065
54,1174.73,1.01687,0.73935,0.00307,0.85324,0.85216,0.8906,0.71263,0.90987,0.75768,0.00284,0.000594125,0.000594125,0.000594125
55,1195.28,1.00095,0.73082,0.00314,0.86284,0.79662,0.89063,0.72136,0.90643,0.72517,0.00292,0.00058175,0.00058175,0.00058175
56,1216.29,0.97266,0.69945,0.0032,0.84156,0.78363,0.88322,0.70214,0.94226,0.7269,0.003,0.000569375,0.000569375,0.000569375
57,1237.44,0.96511,0.68338,0.00291,0.82133,0.84558,0.89434,0.71224,0.93382,0.73566,0.00297,0.000557,0.000557,0.000557
58,1258.68,1.00768,0.72782,0.00308,0.85322,0.78457,0.88735,0.70529,0.94516,0.77149,0.00312,0.000544625,0.000544625,0.000544625
59,1280.15,1.00114,0.70811,0.00308,0.82079,0.84186,0.89062,0.73241,0.92251,0.75051,0.00297,0.00053225,0.00053225,0.00053225
60,1300.86,0.936,0.63811,0.00264,0.83195,0.82184,0.89093,0.7167,0.89399,0.72769,0.00284,0.000519875,0.000519875,0.000519875
61,1321.83,0.99161,0.66989,0.00286,0.82558,0.79876,0.88881,0.72015,0.90098,0.68299,0.00283,0.0005075,0.0005075,0.0005075
62,1342.77,0.98771,0.66928,0.00268,0.84017,0.8313,0.89874,0.72268,0.89674,0.67176,0.00285,0.000495125,0.000495125,0.000495125
63,1363.7,0.99953,0.67969,0.00292,0.80008,0.87096,0.88829,0.6981,0.89772,0.6804,0.00288,0.00048275,0.00048275,0.00048275
64,1384.96,0.98819,0.66379,0.00297,0.8414,0.79217,0.8958,0.72202,0.89893,0.70261,0.00286,0.000470375,0.000470375,0.000470375
65,1405.84,0.93334,0.62065,0.00286,0.85089,0.77225,0.89329,0.72579,0.88668,0.70041,0.00286,0.000458,0.000458,0.000458
66,1426.75,0.92591,0.62117,0.00277,0.66877,0.87796,0.80958,0.63514,0.93582,0.71125,0.00298,0.000445625,0.000445625,0.000445625
67,1447.44,0.92497,0.61725,0.00269,0.58831,0.85602,0.74228,0.578,0.90652,0.68837,0.0029,0.00043325,0.00043325,0.00043325
68,1468.38,0.92481,0.61787,0.00284,0.7799,0.80293,0.89787,0.72315,0.925,0.67424,0.00302,0.000420875,0.000420875,0.000420875
69,1489.82,0.92302,0.63782,0.00271,0.91363,0.75864,0.89383,0.72181,0.9019,0.70935,0.00289,0.0004085,0.0004085,0.0004085
70,1510.75,0.92511,0.62263,0.00275,0.64969,0.8544,0.78031,0.61263,0.90783,0.68044,0.00291,0.000396125,0.000396125,0.000396125
71,1531.81,0.91176,0.61723,0.00278,0.76423,0.81844,0.85454,0.67586,0.9418,0.6901,0.00308,0.00038375,0.00038375,0.00038375
72,1552.38,0.92928,0.58675,0.00257,0.86749,0.81753,0.90333,0.74469,0.90828,0.65339,0.00287,0.000371375,0.000371375,0.000371375
73,1572.57,0.92281,0.63055,0.00273,0.83199,0.85844,0.90304,0.72381,0.90495,0.6616,0.00292,0.000359,0.000359,0.000359
74,1592.95,0.90334,0.61245,0.0028,0.83852,0.84338,0.90471,0.73076,0.88304,0.68556,0.00283,0.000346625,0.000346625,0.000346625
75,1614.12,0.8737,0.58092,0.00256,0.83491,0.83002,0.89575,0.72527,0.8812,0.71601,0.00284,0.00033425,0.00033425,0.00033425
76,1635.38,0.91898,0.60122,0.00261,0.86774,0.81082,0.89895,0.72986,0.88792,0.67595,0.00286,0.000321875,0.000321875,0.000321875
77,1656.1,0.91275,0.60001,0.00273,0.85625,0.82585,0.89534,0.72608,0.89144,0.68696,0.00288,0.0003095,0.0003095,0.0003095
