epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,384.161,1.63302,1.78949,0.01404,0.64706,0.4741,0.44995,0.24572,1.48205,1.51031,0.0161,0.000742625,0.000742625,0.000742625
43,392.381,1.62132,1.84639,0.01431,0.64613,0.44891,0.44886,0.25087,1.52839,1.46807,0.01691,0.00073025,0.00073025,0.00073025
44,400.577,1.61913,1.78134,0.0138,0.6404,0.4216,0.43372,0.24198,1.48418,1.53467,0.01618,0.000717875,0.000717875,0.000717875
45,408.976,1.61633,1.72801,0.0139,0.64817,0.47204,0.44744,0.25369,1.48471,1.44083,0.01626,0.0007055,0.0007055,0.0007055
46,417.604,1.58611,1.74516,0.0141,0.67231,0.44334,0.44224,0.23755,1.52077,1.49979,0.01664,0.000693125,0.000693125,0.000693125
47,426.007,1.56663,1.69918,0.01357,0.67895,0.45913,0.46176,0.24701,1.52406,1.47113,0.01672,0.00068075,0.00068075,0.00068075
48,434.345,1.59508,1.68882,0.01393,0.6963,0.43753,0.46584,0.25725,1.49121,1.44471,0.01639,0.000668375,0.000668375,0.000668375
49,442.77,1.59352,1.70123,0.01347,0.68009,0.45762,0.45745,0.258,1.43869,1.37339,0.01603,0.000656,0.000656,0.000656
50,451.327,1.57128,1.71503,0.01377,0.71107,0.41092,0.46702,0.26322,1.45479,1.41348,0.01624,0.000643625,0.000643625,0.000643625
51,459.727,1.56694,1.68281,0.01386,0.6586,0.4273,0.4488,0.2548,1.41858,1.50334,0.01538,0.00063125,0.00063125,0.00063125
52,468.141,1.53143,1.72865,0.01352,0.70789,0.45491,0.48499,0.27582,1.39022,1.42718,0.01499,0.000618875,0.000618875,0.000618875
53,476.578,1.58874,1.65784,0.01383,0.6854,0.4268,0.46317,0.24849,1.51881,1.52857,0.01669,0.0006065,0.0006065,0.0006065
54,485.114,1.55979,1.71624,0.01391,0.75485,0.45687,0.54843,0.31833,1.43983,1.36069,0.01538,0.000594125,0.000594125,0.000594125
55,493.748,1.53345,1.70037,0.01356,0.42788,0.55867,0.55385,0.32834,1.37424,1.28893,0.01465,0.00058175,0.00058175,0.00058175
56,502.143,1.54974,1.63633,0.01384,0.73167,0.48936,0.56112,0.3377,1.36969,1.32865,0.0147,0.000569375,0.000569375,0.000569375
57,510.679,1.53755,1.59957,0.01327,0.72157,0.48764,0.5137,0.30553,1.37643,1.30635,0.01472,0.000557,0.000557,0.000557
58,519.061,1.54377,1.63407,0.01364,0.47895,0.63286,0.60624,0.34793,1.46637,1.31876,0.01579,0.000544625,0.000544625,0.000544625
59,527.512,1.52956,1.59995,0.01315,0.58109,0.56757,0.59683,0.37044,1.39111,1.34212,0.01491,0.00053225,0.00053225,0.00053225
60,536.063,1.54977,1.61988,0.01351,0.72514,0.49733,0.54764,0.32712,1.40586,1.29477,0.01512,0.000519875,0.000519875,0.000519875
61,544.355,1.53365,1.53867,0.0132,0.78833,0.46578,0.54423,0.32617,1.35824,1.25051,0.01468,0.0005075,0.0005075,0.0005075
62,552.838,1.47671,1.62626,0.0125,0.71939,0.49032,0.53184,0.31306,1.37885,1.31751,0.01456,0.000495125,0.000495125,0.000495125
63,561.33,1.53564,1.53506,0.01372,0.72475,0.48888,0.55705,0.31952,1.42463,1.3147,0.01514,0.00048275,0.00048275,0.00048275
64,569.952,1.48824,1.63673,0.01308,0.66226,0.53251,0.60681,0.36364,1.37591,1.31282,0.01473,0.000470375,0.000470375,0.000470375
65,578.464,1.51323,1.6165,0.01355,0.72515,0.50837,0.585,0.3458,1.36441,1.26281,0.01448,0.000458,0.000458,0.000458
66,586.954,1.55187,1.57582,0.01369,0.76442,0.49471,0.63771,0.36778,1.39011,1.2924,0.01493,0.000445625,0.000445625,0.000445625
