epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,387.183,1.39212,1.49846,0.00576,0.78458,0.51325,0.67559,0.42702,1.23132,1.05751,0.00699,0.000742625,0.000742625,0.000742625
43,395.578,1.37548,1.4382,0.00564,0.60304,0.67701,0.69018,0.4021,1.33013,1.03658,0.00758,0.00073025,0.00073025,0.00073025
44,404.01,1.37382,1.48403,0.00594,0.65557,0.71833,0.7191,0.43474,1.28138,0.97773,0.00732,0.000717875,0.000717875,0.000717875
45,412.141,1.33916,1.43009,0.00587,0.64757,0.69097,0.7053,0.44897,1.21917,0.95729,0.00689,0.0007055,0.0007055,0.0007055
46,420.548,1.36242,1.38344,0.00551,0.69572,0.66009,0.72646,0.4848,1.18948,0.89693,0.0067,0.000693125,0.000693125,0.000693125
47,428.684,1.34092,1.36129,0.00568,0.71915,0.69619,0.75444,0.5058,1.15067,0.91231,0.00643,0.00068075,0.00068075,0.00068075
48,437.051,1.33071,1.32325,0.00554,0.75867,0.63958,0.74493,0.47766,1.23824,0.94309,0.00682,0.000668375,0.000668375,0.000668375
49,445.22,1.32883,1.3456,0.00576,0.65812,0.63621,0.70348,0.45884,1.23893,0.88704,0.00697,0.000656,0.000656,0.000656
50,453.238,1.36454,1.30882,0.00564,0.69354,0.7064,0.73096,0.46294,1.2759,0.92083,0.00748,0.000643625,0.000643625,0.000643625
51,461.395,1.38994,1.34893,0.00576,0.79292,0.63321,0.74738,0.43947,1.32617,0.98415,0.0072,0.00063125,0.00063125,0.00063125
52,469.638,1.33726,1.23938,0.00559,0.80492,0.58095,0.74386,0.48922,1.15802,0.88691,0.00629,0.000618875,0.000618875,0.000618875
53,478.227,1.29277,1.3333,0.00545,0.69792,0.70677,0.78545,0.51953,1.15453,0.90175,0.00631,0.0006065,0.0006065,0.0006065
54,486.686,1.3026,1.30087,0.00538,0.73618,0.76909,0.80579,0.54316,1.13292,0.8751,0.00626,0.000594125,0.000594125,0.000594125
55,494.867,1.31873,1.26371,0.00525,0.78026,0.67774,0.80374,0.55017,1.11816,0.8423,0.00642,0.00058175,0.00058175,0.00058175
56,503.337,1.31014,1.18951,0.00531,0.71528,0.75196,0.78905,0.53677,1.09767,0.79991,0.00612,0.000569375,0.000569375,0.000569375
57,511.553,1.29671,1.14926,0.00522,0.75824,0.65213,0.78179,0.5281,1.08928,0.78977,0.00601,0.000557,0.000557,0.000557
58,520.246,1.26179,1.20864,0.00518,0.76609,0.71339,0.81942,0.57008,1.10168,0.77672,0.006,0.000544625,0.000544625,0.000544625
59,528.591,1.27127,1.16723,0.00515,0.68494,0.73926,0.79012,0.54584,1.1022,0.80435,0.00596,0.00053225,0.00053225,0.00053225
60,536.615,1.25732,1.12618,0.00521,0.81206,0.72136,0.83625,0.58134,1.08033,0.79287,0.00587,0.000519875,0.000519875,0.000519875
61,544.789,1.23753,1.1973,0.00504,0.76285,0.63042,0.79848,0.55369,1.0875,0.76908,0.006,0.0005075,0.0005075,0.0005075
