epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,810.921,1.04522,0.56412,0.00309,0.61458,0.78132,0.83687,0.61876,1.04446,0.83578,0.00337,0.000615781,0.000615781,0.000615781
43,829.494,1.03175,0.56919,0.00307,0.77418,0.73658,0.76391,0.58111,1.07081,0.74013,0.00335,0.000600313,0.000600313,0.000600313
44,848.132,1.00777,0.53834,0.00283,0.84958,0.81857,0.89243,0.69895,1.02491,0.70971,0.00329,0.000584844,0.000584844,0.000584844
45,866.66,1.00211,0.53707,0.0029,0.82823,0.82491,0.87747,0.69884,1.00106,0.71179,0.00324,0.000569375,0.000569375,0.000569375
46,885.235,0.99543,0.52953,0.00282,0.67164,0.79091,0.85195,0.64558,1.01139,0.86134,0.00328,0.000553906,0.000553906,0.000553906
47,903.679,0.96781,0.51679,0.00293,0.77172,0.77343,0.8665,0.67927,1.01036,0.78193,0.00333,0.000538438,0.000538438,0.000538438
48,922.324,0.97855,0.52304,0.00302,0.68395,0.71039,0.79915,0.61656,1.08257,0.96737,0.00362,0.000522969,0.000522969,0.000522969
49,940.815,0.9625,0.50175,0.00279,0.84938,0.73282,0.87672,0.66451,1.01437,0.7611,0.0033,0.0005075,0.0005075,0.0005075
50,959.356,0.96693,0.51893,0.00279,0.83232,0.80393,0.8654,0.64679,1.04455,0.77288,0.00341,0.000492031,0.000492031,0.000492031
51,977.762,0.93557,0.49591,0.00277,0.67063,0.84666,0.80051,0.61736,1.00588,0.82383,0.00325,0.000476562,0.000476562,0.000476562
52,996.265,0.92118,0.46619,0.0027,0.83881,0.70815,0.86472,0.6559,1.03011,0.77358,0.00337,0.000461094,0.000461094,0.000461094
53,1014.95,0.94234,0.4755,0.00274,0.67834,0.65914,0.80072,0.62379,1.05836,0.99861,0.00341,0.000445625,0.000445625,0.000445625
54,1033.5,0.90976,0.46644,0.00263,0.66464,0.80743,0.86521,0.66998,1.05041,0.78484,0.00334,0.000430156,0.000430156,0.000430156
55,1052.03,0.92112,0.46859,0.00273,0.61709,0.84593,0.86051,0.64956,1.03788,0.82747,0.00336,0.000414688,0.000414688,0.000414688
56,1070.69,0.87194,0.45185,0.00253,0.83497,0.742,0.8714,0.68792,0.99323,0.79076,0.00319,0.000399219,0.000399219,0.000399219
57,1089.22,0.87259,0.44426,0.00256,0.70481,0.82902,0.8802,0.69163,1.00912,0.7415,0.00327,0.00038375,0.00038375,0.00038375
58,1107.9,0.84716,0.43166,0.00246,0.81612,0.78484,0.86953,0.6754,1.07504,0.78632,0.00345,0.000368281,0.000368281,0.000368281
59,1126.45,0.86322,0.44354,0.00253,0.65336,0.79274,0.84869,0.65171,1.08183,0.84993,0.00346,0.000352812,0.000352812,0.000352812
60,1144.98,0.8391,0.42838,0.00238,0.7941,0.69419,0.87968,0.66287,1.04664,0.78651,0.00339,0.000337344,0.000337344,0.000337344
61,1163.52,0.81763,0.41211,0.00234,0.82486,0.74206,0.86847,0.67621,1.04575,0.80648,0.00342,0.000321875,0.000321875,0.000321875
62,1181.97,0.82784,0.4214,0.00244,0.66933,0.81774,0.79367,0.59963,1.01271,0.78664,0.00334,0.000306406,0.000306406,0.000306406
63,1200.53,0.82401,0.4208,0.00246,0.66754,0.78224,0.68271,0.51033,1.02999,0.81701,0.00335,0.000290937,0.000290937,0.000290937
64,1219.08,0.81129,0.39728,0.00235,0.70394,0.8149,0.69786,0.5268,1.01445,0.8182,0.00326,0.000275469,0.000275469,0.000275469
65,1237.64,0.79504,0.39066,0.0023,0.67644,0.83306,0.79598,0.61491,1.01395,0.78956,0.00332,0.00026,0.00026,0.00026
66,1256.08,0.79158,0.40345,0.00225,0.74868,0.79528,0.88006,0.6961,1.02213,0.79083,0.00334,0.000244531,0.000244531,0.000244531
67,1274.63,0.77847,0.38716,0.00224,0.72246,0.79424,0.75812,0.58779,1.00189,0.81464,0.00325,0.000229063,0.000229063,0.000229063
68,1293.32,0.77034,0.39204,0.00228,0.7244,0.79323,0.83491,0.64946,1.02104,0.79306,0.00328,0.000213594,0.000213594,0.000213594
69,1311.74,0.77276,0.37918,0.00224,0.63199,0.84004,0.65729,0.48946,1.04104,0.82925,0.00334,0.000198125,0.000198125,0.000198125
70,1330.28,0.75132,0.37895,0.0021,0.60744,0.59413,0.64038,0.47322,1.04842,0.82613,0.00335,0.000182656,0.000182656,0.000182656
71,1351.42,0.73444,0.33176,0.00239,0.75398,0.79315,0.8306,0.63805,1.06213,0.81,0.00338,0.000167188,0.000167188,0.000167188
72,1369.7,0.71652,0.31757,0.00223,0.87306,0.75217,0.8644,0.67714,1.03779,0.79319,0.00334,0.000151719,0.000151719,0.000151719
73,1388.28,0.70032,0.31012,0.00219,0.67354,0.81398,0.7823,0.61395,1.02288,0.82123,0.00329,0.00013625,0.00013625,0.00013625
74,1406.5,0.69882,0.30696,0.00223,0.59398,0.60813,0.63524,0.47248,1.04147,0.8151,0.00331,0.000120781,0.000120781,0.000120781
75,1424.88,0.67007,0.29947,0.00204,0.63664,0.88312,0.70091,0.53695,1.01925,0.81049,0.00328,0.000105312,0.000105312,0.000105312
76,1443.23,0.68317,0.30533,0.00212,0.64565,0.86857,0.70328,0.53014,1.02629,0.83327,0.0033,8.98437e-05,8.98437e-05,8.98437e-05
77,1461.63,0.66913,0.29831,0.00211,0.73659,0.80304,0.78705,0.60735,1.03086,0.82431,0.00332,7.4375e-05,7.4375e-05,7.4375e-05
78,1480.04,0.66138,0.28831,0.00204,0.72074,0.80692,0.7857,0.60931,1.02526,0.83224,0.00331,5.89062e-05,5.89062e-05,5.89062e-05
79,1498.35,0.65934,0.29517,0.00212,0.72789,0.81611,0.82911,0.64574,1.02845,0.80715,0.00331,4.34375e-05,4.34375e-05,4.34375e-05
80,1516.71,0.64543,0.28249,0.00194,0.73553,0.81282,0.78652,0.60563,1.03288,0.80959,0.00332,2.79687e-05,2.79687e-05,2.79687e-05
