epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.733,1.99279,12.4815,0.00645,0.01227,0.17124,0.03148,0.00901,1.27922,8.09761,0.00488,0.000404412,0.000404412,0.000404412
2,127.062,1.33878,9.55019,0.00409,0.04675,0.4514,0.20212,0.10688,1.15419,7.65399,0.00423,0.00081295,0.00081295,0.00081295
3,164.105,1.33099,8.94446,0.00412,0.75505,0.20017,0.23292,0.13266,1.23476,7.04164,0.00451,0.00121324,0.00121324,0.00121324
4,201.731,1.41461,7.85826,0.00447,0.76832,0.25936,0.30949,0.16251,1.38943,6.59912,0.00529,0.00121287,0.00121287,0.00121287
5,238.891,1.35308,7.42729,0.00418,0.8042,0.28075,0.34061,0.19073,1.31837,5.26786,0.00481,0.0012005,0.0012005,0.0012005
6,275.849,1.33825,6.74459,0.00413,0.80751,0.29832,0.36291,0.21241,1.2722,4.03116,0.00463,0.00118812,0.00118812,0.00118812
7,313.412,1.34838,5.77922,0.00408,0.80344,0.31455,0.38185,0.23002,1.21973,3.15618,0.00457,0.00117575,0.00117575,0.00117575
8,351.214,1.31691,5.34019,0.00392,0.82065,0.316,0.39432,0.24949,1.18082,2.41571,0.00427,0.00116337,0.00116337,0.00116337
9,388.195,1.29655,5.3088,0.00405,0.67993,0.42405,0.42595,0.24989,1.30306,1.8359,0.00473,0.001151,0.001151,0.001151
10,425.362,1.35571,4.59053,0.00411,0.6944,0.42827,0.43055,0.26209,1.29065,1.67489,0.00485,0.00113863,0.00113863,0.00113863
11,462.512,1.30836,4.45911,0.00403,0.73838,0.41789,0.45133,0.28542,1.21141,1.46166,0.00442,0.00112625,0.00112625,0.00112625
12,500.112,1.33664,4.0756,0.00409,0.7018,0.41846,0.4389,0.27541,1.20324,1.42007,0.00442,0.00111388,0.00111388,0.00111388
13,538.337,1.30738,4.00122,0.00417,0.71118,0.41709,0.46078,0.29411,1.16821,1.28477,0.00426,0.0011015,0.0011015,0.0011015
14,575.435,1.27494,3.79738,0.0041,0.73483,0.43287,0.48092,0.30871,1.16058,1.23004,0.00429,0.00108913,0.00108913,0.00108913
15,612.418,1.2776,3.37998,0.00408,0.7469,0.44875,0.5041,0.31356,1.22807,1.18958,0.00439,0.00107675,0.00107675,0.00107675
16,649.129,1.27208,3.12042,0.00391,0.73975,0.45399,0.49683,0.31443,1.18303,1.14881,0.00432,0.00106437,0.00106437,0.00106437
17,686.992,1.27881,2.75194,0.00387,0.73098,0.46657,0.52208,0.32252,1.2056,1.14779,0.00435,0.001052,0.001052,0.001052
18,724.005,1.27094,2.72819,0.00391,0.77116,0.43766,0.51342,0.32044,1.20011,1.07699,0.00434,0.00103962,0.00103962,0.00103962
19,761.287,1.26197,2.57714,0.00388,0.75829,0.4822,0.55094,0.3566,1.18881,1.0433,0.00441,0.00102725,0.00102725,0.00102725
20,798.573,1.26607,2.3913,0.00396,0.77932,0.49374,0.54677,0.3651,1.12683,0.95914,0.00403,0.00101488,0.00101488,0.00101488
21,836.629,1.30184,2.27957,0.00401,0.75798,0.51605,0.58844,0.38409,1.16131,0.97389,0.00415,0.0010025,0.0010025,0.0010025
22,873.197,1.25873,2.10609,0.00381,0.81736,0.46449,0.58186,0.38521,1.1049,0.93394,0.00399,0.000990125,0.000990125,0.000990125
23,910.102,1.26152,2.12176,0.00404,0.81278,0.51532,0.6348,0.42338,1.11857,0.88746,0.00404,0.00097775,0.00097775,0.00097775
24,947.275,1.24791,1.93991,0.00394,0.77231,0.51637,0.58368,0.38036,1.15821,0.90005,0.00419,0.000965375,0.000965375,0.000965375
25,984.527,1.23825,1.89801,0.00383,0.81706,0.51917,0.61032,0.40928,1.10727,0.85917,0.00402,0.000953,0.000953,0.000953
26,1021.42,1.26209,1.79459,0.00387,0.79684,0.52458,0.63255,0.41692,1.19233,0.93015,0.0045,0.000940625,0.000940625,0.000940625
27,1058.01,1.27635,1.7989,0.00397,0.82167,0.54846,0.6691,0.46188,1.08232,0.79273,0.00389,0.00092825,0.00092825,0.00092825
28,1094.73,1.19562,1.66136,0.00376,0.85221,0.5397,0.69014,0.47172,1.09187,0.78255,0.00396,0.000915875,0.000915875,0.000915875
29,1131.54,1.20565,1.57731,0.00372,0.81866,0.54251,0.6845,0.44089,1.20062,0.85928,0.00429,0.0009035,0.0009035,0.0009035
30,1168.29,1.2359,1.62228,0.00393,0.83004,0.52061,0.67575,0.44447,1.15105,0.85405,0.00408,0.000891125,0.000891125,0.000891125
31,1204.8,1.2114,1.49312,0.00374,0.82801,0.55328,0.69058,0.46984,1.08817,0.76949,0.00387,0.00087875,0.00087875,0.00087875
32,1241.51,1.22446,1.47498,0.00375,0.85673,0.56146,0.73485,0.49105,1.1534,0.81194,0.00425,0.000866375,0.000866375,0.000866375
33,1278.54,1.22252,1.43565,0.0038,0.80948,0.5275,0.68387,0.43686,1.23558,0.90521,0.00454,0.000854,0.000854,0.000854
34,1315.94,1.1707,1.33151,0.00368,0.86037,0.57352,0.72387,0.48793,1.11246,0.75142,0.00399,0.000841625,0.000841625,0.000841625
35,1353.07,1.17835,1.33617,0.00364,0.83881,0.56154,0.74942,0.51052,1.09159,0.76935,0.00395,0.00082925,0.00082925,0.00082925
36,1389.93,1.18223,1.27963,0.00356,0.8218,0.57176,0.67836,0.47228,1.08122,0.77988,0.00382,0.000816875,0.000816875,0.000816875
37,1427.34,1.17064,1.24921,0.0036,0.73465,0.69878,0.7579,0.5181,1.11372,0.70607,0.00399,0.0008045,0.0008045,0.0008045
38,1464.74,1.14787,1.18784,0.00357,0.86351,0.6004,0.73955,0.52117,1.04734,0.68631,0.00374,0.000792125,0.000792125,0.000792125
