epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.3429,2.50159,12.3455,0.00818,0.04857,0.11685,0.00167,0.00063,1.7208,8.09869,0.00722,0.0002,0.0002,0.0002
2,97.0516,1.38089,9.68642,0.00421,0.02921,0.25166,0.04422,0.02169,1.10127,7.24802,0.00406,0.000408416,0.000408416,0.000408416
3,118.095,1.34422,9.26162,0.0042,0.04228,0.39956,0.13785,0.07182,1.05081,7.04748,0.00379,0.000612625,0.000612625,0.000612625
4,138.697,1.3375,7.76551,0.00398,0.0385,0.41909,0.16372,0.08905,1.08346,6.96013,0.00397,0.000812626,0.000812626,0.000812626
5,159.461,1.37567,7.57087,0.00434,0.05765,0.48916,0.27308,0.159,1.12029,6.59288,0.00417,0.00100842,0.00100842,0.00100842
6,179.496,1.37113,6.15484,0.0041,0.86721,0.19235,0.29878,0.16157,1.16663,6.06452,0.00421,0.00118812,0.00118812,0.00118812
7,200.482,1.32979,6.11041,0.00422,0.83484,0.23297,0.31454,0.17213,1.21273,5.01018,0.00468,0.00117575,0.00117575,0.00117575
8,220.685,1.33249,5.68716,0.00417,0.80614,0.27621,0.32609,0.19407,1.1559,3.08201,0.00428,0.00116337,0.00116337,0.00116337
9,241.101,1.37755,5.66231,0.00433,0.80088,0.29429,0.31235,0.16279,1.19834,2.46319,0.00441,0.001151,0.001151,0.001151
10,261.74,1.31311,4.75837,0.00393,0.78631,0.30513,0.3383,0.19069,1.19605,1.85603,0.0044,0.00113863,0.00113863,0.00113863
11,282.269,1.30443,5.05807,0.00417,0.79909,0.31441,0.34551,0.1946,1.1825,1.71849,0.00429,0.00112625,0.00112625,0.00112625
12,303.224,1.30625,3.86461,0.00397,0.83849,0.32742,0.37799,0.22292,1.17332,1.42816,0.00434,0.00111388,0.00111388,0.00111388
13,323.742,1.3167,3.83803,0.00426,0.86167,0.32133,0.39113,0.23762,1.14593,1.32464,0.00428,0.0011015,0.0011015,0.0011015
14,344.222,1.31425,3.68031,0.0041,0.853,0.34427,0.41755,0.25427,1.17741,1.21499,0.00447,0.00108913,0.00108913,0.00108913
15,365.01,1.28758,3.25581,0.00406,0.57453,0.40606,0.3828,0.22534,1.16966,1.26636,0.00427,0.00107675,0.00107675,0.00107675
16,385.357,1.3136,3.12843,0.00406,0.63048,0.41493,0.42081,0.269,1.09927,1.19417,0.00405,0.00106437,0.00106437,0.00106437
17,405.64,1.28132,2.85089,0.00386,0.61845,0.41741,0.44413,0.27595,1.13838,1.1456,0.00426,0.001052,0.001052,0.001052
18,426.01,1.28063,2.68962,0.00385,0.65364,0.45454,0.45482,0.27777,1.1946,1.18795,0.00439,0.00103962,0.00103962,0.00103962
19,446.579,1.3014,2.59921,0.0041,0.63817,0.48957,0.4894,0.30822,1.13608,1.05783,0.00421,0.00102725,0.00102725,0.00102725
20,467.52,1.27016,2.35776,0.00384,0.70018,0.4428,0.47669,0.29089,1.20564,1.0492,0.00445,0.00101488,0.00101488,0.00101488
21,488.387,1.33009,2.31232,0.00422,0.63957,0.46821,0.44234,0.27108,1.21424,1.14172,0.00485,0.0010025,0.0010025,0.0010025
22,508.443,1.25741,2.19207,0.00402,0.69261,0.47346,0.52596,0.33154,1.13999,0.99263,0.00425,0.000990125,0.000990125,0.000990125
23,529.392,1.24884,2.07569,0.00407,0.70285,0.48898,0.51546,0.33284,1.10781,0.93592,0.00413,0.00097775,0.00097775,0.00097775
24,550.205,1.29633,2.00072,0.00369,0.71608,0.47094,0.50863,0.31802,1.16089,0.9771,0.00438,0.000965375,0.000965375,0.000965375
25,570.85,1.27,1.92948,0.0039,0.74005,0.46357,0.53886,0.3443,1.12306,0.96736,0.00416,0.000953,0.000953,0.000953
26,591.436,1.24415,1.86261,0.00378,0.77066,0.51022,0.59714,0.39464,1.04869,0.86654,0.00385,0.000940625,0.000940625,0.000940625
27,611.596,1.25827,1.73977,0.00378,0.77045,0.50888,0.63885,0.41502,1.0775,0.84656,0.0039,0.00092825,0.00092825,0.00092825
28,632.552,1.21449,1.73644,0.00401,0.76925,0.51415,0.62866,0.42043,1.08564,0.83828,0.00397,0.000915875,0.000915875,0.000915875
29,653.077,1.18874,1.62726,0.00365,0.78338,0.50012,0.63402,0.42643,1.04552,0.86855,0.00379,0.0009035,0.0009035,0.0009035
30,673.71,1.22121,1.56359,0.00422,0.79951,0.49628,0.67806,0.44959,1.13084,0.85603,0.0041,0.000891125,0.000891125,0.000891125
31,693.838,1.23382,1.51838,0.00396,0.81221,0.53478,0.65254,0.43886,1.07089,0.77223,0.00389,0.00087875,0.00087875,0.00087875
32,713.992,1.20658,1.40721,0.00376,0.77558,0.51506,0.6555,0.42752,1.15564,0.85775,0.00418,0.000866375,0.000866375,0.000866375
33,734.734,1.16549,1.32999,0.00347,0.80715,0.5363,0.68601,0.47156,1.0315,0.77746,0.00378,0.000854,0.000854,0.000854
34,754.986,1.1829,1.33909,0.00397,0.83479,0.53175,0.73367,0.49715,1.0629,0.74152,0.00387,0.000841625,0.000841625,0.000841625
35,775.696,1.16583,1.19308,0.00339,0.80341,0.53771,0.70744,0.48795,1.04033,0.75451,0.00376,0.00082925,0.00082925,0.00082925
36,795.799,1.1915,1.2688,0.00378,0.80732,0.54737,0.71451,0.4974,1.04471,0.72946,0.0038,0.000816875,0.000816875,0.000816875
37,816.425,1.20869,1.23391,0.00375,0.82297,0.55555,0.75704,0.51571,1.05263,0.68202,0.00395,0.0008045,0.0008045,0.0008045
38,836.803,1.18114,1.2233,0.00385,0.83445,0.51221,0.71902,0.48803,1.05665,0.76139,0.00391,0.000792125,0.000792125,0.000792125
39,857.712,1.187,1.15678,0.00369,0.83857,0.56553,0.78427,0.55062,1.02593,0.65655,0.00388,0.00077975,0.00077975,0.00077975
40,878.086,1.15285,1.10457,0.00354,0.84585,0.55276,0.77603,0.54392,1.00379,0.65172,0.00365,0.000767375,0.000767375,0.000767375
41,898.19,1.15137,1.07644,0.00343,0.83216,0.58722,0.78303,0.56044,0.9717,0.6131,0.00353,0.000755,0.000755,0.000755
42,918.285,1.1124,1.02731,0.00331,0.81786,0.58118,0.76459,0.5469,0.99758,0.65651,0.0036,0.000742625,0.000742625,0.000742625
43,938.672,1.10419,1.00763,0.00341,0.63828,0.70101,0.73165,0.51295,1.02442,0.6877,0.00368,0.00073025,0.00073025,0.00073025
44,958.963,1.08857,0.99083,0.00344,0.69114,0.70315,0.7819,0.55867,0.94883,0.59464,0.00344,0.000717875,0.000717875,0.000717875
45,979.469,1.11634,1.00266,0.00335,0.76836,0.69223,0.79453,0.57485,0.96176,0.58925,0.00344,0.0007055,0.0007055,0.0007055
46,999.939,1.08157,0.95972,0.00329,0.70426,0.78642,0.80509,0.5804,0.96297,0.59455,0.00345,0.000693125,0.000693125,0.000693125
47,1020.42,1.1127,0.95315,0.00337,0.80032,0.73712,0.81025,0.5678,0.98949,0.56229,0.00376,0.00068075,0.00068075,0.00068075
48,1041.45,1.12924,0.96254,0.00344,0.71639,0.76553,0.80374,0.56063,1.00498,0.58496,0.0036,0.000668375,0.000668375,0.000668375
49,1061.86,1.10457,0.93212,0.00345,0.7087,0.77541,0.80962,0.5899,0.92481,0.55056,0.00334,0.000656,0.000656,0.000656
50,1082.85,1.08775,0.87349,0.00332,0.80197,0.75675,0.82649,0.61744,0.92831,0.53925,0.00338,0.000643625,0.000643625,0.000643625
51,1103.03,1.09282,0.90104,0.00331,0.82581,0.74454,0.83956,0.615,0.94226,0.55681,0.00335,0.00063125,0.00063125,0.00063125
52,1123.34,1.08016,0.88029,0.00335,0.83232,0.75912,0.84971,0.62885,0.87218,0.50157,0.0031,0.000618875,0.000618875,0.000618875
53,1143.92,1.06297,0.93441,0.00361,0.78957,0.71845,0.8096,0.58682,0.92614,0.53526,0.00332,0.0006065,0.0006065,0.0006065
54,1164.7,1.03961,0.81792,0.00295,0.76082,0.79969,0.84902,0.63564,0.86767,0.48698,0.00307,0.000594125,0.000594125,0.000594125
55,1185.47,1.04895,0.81624,0.00316,0.79412,0.79984,0.86734,0.65049,0.85786,0.47778,0.00306,0.00058175,0.00058175,0.00058175
56,1205.85,1.04326,0.80031,0.00308,0.79504,0.78206,0.83818,0.6023,0.94102,0.5161,0.00331,0.000569375,0.000569375,0.000569375
57,1226.26,1.0401,0.78735,0.00322,0.77846,0.78037,0.84286,0.60835,0.92393,0.50612,0.00322,0.000557,0.000557,0.000557
58,1246.31,1.04823,0.83276,0.00332,0.84235,0.76567,0.85827,0.64386,0.86726,0.48992,0.00308,0.000544625,0.000544625,0.000544625
59,1266.87,1.0203,0.78094,0.00306,0.80157,0.77127,0.86354,0.6445,0.87602,0.49094,0.0031,0.00053225,0.00053225,0.00053225
60,1287.08,1.05696,0.82221,0.00334,0.76993,0.82825,0.83333,0.61359,0.89533,0.49205,0.00315,0.000519875,0.000519875,0.000519875
61,1307.74,0.98031,0.7395,0.00289,0.80106,0.82142,0.86736,0.64166,0.85935,0.46608,0.00303,0.0005075,0.0005075,0.0005075
62,1328.1,0.99517,0.7374,0.00294,0.85776,0.82214,0.88644,0.66951,0.8523,0.44603,0.00302,0.000495125,0.000495125,0.000495125
63,1348.41,1.00564,0.72818,0.00293,0.84287,0.80725,0.87563,0.66558,0.8304,0.45048,0.00293,0.00048275,0.00048275,0.00048275
64,1369.13,0.99294,0.73497,0.00304,0.83148,0.83747,0.87704,0.67164,0.80608,0.43448,0.00284,0.000470375,0.000470375,0.000470375
65,1389.78,0.97589,0.71622,0.00308,0.81648,0.80917,0.87588,0.67794,0.79184,0.43282,0.00279,0.000458,0.000458,0.000458
66,1410.21,0.96227,0.72053,0.00293,0.86144,0.84048,0.90432,0.70544,0.78901,0.42439,0.00275,0.000445625,0.000445625,0.000445625
67,1430.92,0.99138,0.75206,0.00293,0.88692,0.85908,0.90918,0.70916,0.77486,0.40318,0.0027,0.00043325,0.00043325,0.00043325
68,1451.36,0.96675,0.7271,0.00294,0.839,0.85278,0.89965,0.6922,0.79481,0.41377,0.0028,0.000420875,0.000420875,0.000420875
69,1472.14,0.98002,0.70226,0.00289,0.85406,0.80783,0.8968,0.68553,0.80671,0.42013,0.00282,0.0004085,0.0004085,0.0004085
70,1492.24,0.97586,0.71894,0.0027,0.8318,0.83523,0.89622,0.69659,0.77793,0.40585,0.00271,0.000396125,0.000396125,0.000396125
71,1513.01,0.98454,0.71312,0.00267,0.85355,0.82641,0.89561,0.69325,0.7841,0.40914,0.00274,0.00038375,0.00038375,0.00038375
72,1533.5,0.97648,0.73151,0.00304,0.89909,0.80878,0.91402,0.70866,0.78788,0.40603,0.00274,0.000371375,0.000371375,0.000371375
73,1554.19,0.95502,0.66876,0.00268,0.87961,0.82896,0.90922,0.7026,0.79752,0.41395,0.00275,0.000359,0.000359,0.000359
74,1574.7,0.94153,0.6582,0.00271,0.8781,0.81397,0.89779,0.7031,0.78186,0.41236,0.00273,0.000346625,0.000346625,0.000346625
75,1595.62,0.91303,0.62431,0.00271,0.84982,0.85737,0.90604,0.69965,0.80473,0.4149,0.00279,0.00033425,0.00033425,0.00033425
76,1616.75,0.95132,0.64475,0.00258,0.83934,0.88,0.91139,0.71475,0.7775,0.39007,0.00273,0.000321875,0.000321875,0.000321875
77,1637.16,0.93378,0.65131,0.0029,0.878,0.86358,0.91781,0.72705,0.7694,0.38219,0.00267,0.0003095,0.0003095,0.0003095
78,1657.82,0.92387,0.62002,0.00255,0.86983,0.86253,0.91084,0.7276,0.75115,0.3774,0.00262,0.000297125,0.000297125,0.000297125
79,1678.16,0.92401,0.62,0.00268,0.8556,0.8612,0.89766,0.70999,0.75325,0.38216,0.00264,0.00028475,0.00028475,0.00028475
80,1699.47,0.92558,0.6167,0.00275,0.84655,0.87599,0.90967,0.70665,0.78022,0.39889,0.0027,0.000272375,0.000272375,0.000272375
81,1720.32,0.90301,0.62058,0.00249,0.86684,0.84364,0.91944,0.72464,0.74524,0.37788,0.00258,0.00026,0.00026,0.00026
82,1740.97,0.91171,0.64463,0.00276,0.85612,0.89082,0.93688,0.73992,0.75223,0.37406,0.00262,0.000247625,0.000247625,0.000247625
83,1761.38,0.90137,0.62859,0.00279,0.86074,0.88865,0.94084,0.74332,0.7355,0.36422,0.00254,0.00023525,0.00023525,0.00023525
84,1781.37,0.88667,0.60587,0.0026,0.86307,0.90213,0.93857,0.73903,0.74564,0.36623,0.00258,0.000222875,0.000222875,0.000222875
85,1801.6,0.92761,0.6231,0.00274,0.87808,0.88834,0.93796,0.7436,0.71424,0.35918,0.00246,0.0002105,0.0002105,0.0002105
86,1822.12,0.89418,0.61503,0.0027,0.86147,0.90133,0.94403,0.75738,0.72607,0.36386,0.0025,0.000198125,0.000198125,0.000198125
87,1841.83,0.87514,0.59357,0.00284,0.87049,0.91181,0.94736,0.76643,0.70616,0.34895,0.00243,0.00018575,0.00018575,0.00018575
88,1862.6,0.88654,0.58453,0.00251,0.85174,0.87651,0.92665,0.74135,0.71614,0.35803,0.00246,0.000173375,0.000173375,0.000173375
89,1883.65,0.86067,0.58202,0.00237,0.87476,0.87775,0.92832,0.74502,0.72302,0.36468,0.00251,0.000161,0.000161,0.000161
90,1904.19,0.8667,0.59866,0.00271,0.85466,0.88876,0.91641,0.73631,0.71706,0.36086,0.00248,0.000148625,0.000148625,0.000148625
91,1928.98,0.87465,0.55995,0.00312,0.88699,0.90922,0.94424,0.76453,0.70121,0.34647,0.00244,0.00013625,0.00013625,0.00013625
92,1948.35,0.83337,0.52658,0.0028,0.89904,0.86981,0.94467,0.75884,0.71914,0.35227,0.00248,0.000123875,0.000123875,0.000123875
93,1967.74,0.84412,0.52147,0.00278,0.9293,0.88585,0.95144,0.76783,0.71518,0.34844,0.00244,0.0001115,0.0001115,0.0001115
94,1987.72,0.87759,0.52173,0.00294,0.93719,0.88068,0.95187,0.76688,0.71429,0.35506,0.00244,9.9125e-05,9.9125e-05,9.9125e-05
95,2007.2,0.8228,0.52087,0.00285,0.94965,0.8781,0.95551,0.7738,0.69824,0.34254,0.0024,8.675e-05,8.675e-05,8.675e-05
96,2026.85,0.85712,0.54235,0.00278,0.91729,0.8895,0.94766,0.76089,0.71315,0.34645,0.00243,7.4375e-05,7.4375e-05,7.4375e-05
97,2046.82,0.82597,0.49309,0.00265,0.9105,0.89746,0.94779,0.7586,0.72559,0.35228,0.00248,6.2e-05,6.2e-05,6.2e-05
98,2066.69,0.85635,0.52384,0.00289,0.90935,0.86918,0.94469,0.76151,0.71807,0.35097,0.00246,4.9625e-05,4.9625e-05,4.9625e-05
99,2086.49,0.81641,0.5242,0.00281,0.8668,0.9122,0.94465,0.76355,0.70908,0.34851,0.00243,3.725e-05,3.725e-05,3.725e-05
100,2106.15,0.82663,0.51528,0.00289,0.87456,0.90909,0.94251,0.75325,0.71792,0.35201,0.00246,2.4875e-05,2.4875e-05,2.4875e-05
