epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.827,2.37956,20.3557,0.00682,0.0588,0.09812,0.0061,0.00222,1.73007,10.2944,0.00603,0.0003625,0.0003625,0.0003625
2,137.259,1.49026,12.6806,0.00346,0.03359,0.38336,0.07193,0.03122,1.40006,9.60359,0.00464,0.000730199,0.000730199,0.000730199
3,151.36,1.44605,11.9543,0.00362,0.03898,0.4957,0.11961,0.05604,1.31033,9.21326,0.00419,0.00109047,0.00109047,0.00109047
4,165.644,1.42467,10.8296,0.00326,0.37966,0.23307,0.1341,0.05672,1.45054,9.59088,0.00445,0.00121287,0.00121287,0.00121287
5,179.808,1.39288,14.0755,0.00354,0.44485,0.17448,0.14585,0.0725,1.25868,8.77182,0.0039,0.0012005,0.0012005,0.0012005
6,194.059,1.36355,11.2793,0.00328,0.68863,0.19377,0.18531,0.09117,1.18319,8.35802,0.00352,0.00118812,0.00118812,0.00118812
7,208.395,1.32712,10.1908,0.00309,0.70916,0.20713,0.21006,0.09807,1.27597,8.12895,0.00372,0.00117575,0.00117575,0.00117575
8,222.318,1.34726,11.0763,0.00318,0.70635,0.2121,0.21575,0.10983,1.24839,7.80103,0.00366,0.00116337,0.00116337,0.00116337
9,236.432,1.34823,10.1177,0.0031,0.68106,0.24071,0.19881,0.10282,1.22823,7.36488,0.00366,0.001151,0.001151,0.001151
10,250.645,1.36466,9.49693,0.00319,0.69053,0.23649,0.20224,0.10165,1.25614,7.13095,0.00368,0.00113863,0.00113863,0.00113863
11,264.914,1.3529,10.0709,0.00318,0.7204,0.24187,0.22846,0.11792,1.21057,6.76239,0.00355,0.00112625,0.00112625,0.00112625
12,278.872,1.34332,11.4543,0.00339,0.70821,0.20613,0.20806,0.10239,1.20272,6.67833,0.00353,0.00111388,0.00111388,0.00111388
13,293.22,1.33013,9.3099,0.00309,0.72311,0.26642,0.27689,0.14222,1.21563,5.95771,0.00364,0.0011015,0.0011015,0.0011015
14,307.354,1.36156,8.62297,0.00312,0.73823,0.25451,0.25703,0.1385,1.21852,5.63502,0.00363,0.00108913,0.00108913,0.00108913
15,321.546,1.37206,8.07362,0.00306,0.73945,0.24259,0.23966,0.12663,1.23589,5.57302,0.00363,0.00107675,0.00107675,0.00107675
16,335.648,1.35321,8.11452,0.00313,0.75517,0.25905,0.29551,0.15772,1.25315,4.999,0.00373,0.00106437,0.00106437,0.00106437
17,349.731,1.33517,8.07011,0.00299,0.53258,0.33112,0.30296,0.16958,1.21012,4.57793,0.00364,0.001052,0.001052,0.001052
18,363.726,1.32437,8.55918,0.00318,0.52815,0.36732,0.29198,0.16326,1.19682,3.76405,0.00356,0.00103962,0.00103962,0.00103962
19,378.018,1.35779,6.88614,0.00296,0.55058,0.36681,0.31754,0.18386,1.19528,3.515,0.0036,0.00102725,0.00102725,0.00102725
20,392.196,1.34264,7.38046,0.00313,0.63067,0.37133,0.33991,0.1932,1.18948,3.27959,0.00355,0.00101488,0.00101488,0.00101488
21,406.218,1.31823,8.03442,0.00303,0.6323,0.35718,0.3648,0.2133,1.17475,3.02913,0.00348,0.0010025,0.0010025,0.0010025
22,420.415,1.31215,6.38078,0.00277,0.58396,0.34436,0.33536,0.19166,1.17316,2.95527,0.00341,0.000990125,0.000990125,0.000990125
23,434.565,1.34356,6.65039,0.00302,0.64558,0.36952,0.39542,0.21733,1.16949,2.64424,0.00339,0.00097775,0.00097775,0.00097775
24,448.57,1.28828,7.20986,0.00303,0.649,0.38678,0.39137,0.21705,1.15484,2.49198,0.00336,0.000965375,0.000965375,0.000965375
25,462.866,1.28116,6.92538,0.00326,0.6744,0.40014,0.41989,0.24676,1.15584,2.25524,0.00341,0.000953,0.000953,0.000953
26,476.976,1.31552,6.96398,0.00308,0.68752,0.38674,0.42239,0.24329,1.15888,2.19261,0.00341,0.000940625,0.000940625,0.000940625
27,490.998,1.33352,6.39796,0.00316,0.66779,0.38992,0.41511,0.24687,1.15367,1.94135,0.00342,0.00092825,0.00092825,0.00092825
